Conteúdo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Receita estimada (USD),Impressões,Taxa de cliques de impressões (%)
 -wJ_ZgkzLNI,💣 Novas pistas contra assessor de Arthur Lira revelam detalhes de esquema milionário de corrupção 💣,"Jun 12, 2023",22635,788.2029,43,14.535,185349,7.78
Zp9JRLSaOsk,Lágrimas de Bolsominions! Compilado dos melhores momentos da destruição dos acampamentos,"Jan 10, 2023",230273,11423.953,669,14.178,910986,22.34
aEJYREDd0ow,Posse de Sonia Guajajara e Anielle Franco #AoVivo,"Jan 11, 2023",38655,5564.438,206,13.967,558083,5.1
eqsb_AG3lZk,"Entrevista de Lula a TV Chinesa: alfineta EUA, procura paz mundial e governança global para o clima","Apr 15, 2023",20090,1215.2441,49,13.862,243398,6.61
onMRUt_aR_I,Randolfe acabou com o vitimismo de Moro no Senado,"Mar 23, 2023",15870,325.872,67,13.668,110253,10.83
b1vmvjIAMnA,Você conhece a Mídia NINJA?,"Jul 30, 2019",10126,102.1852,106,12.56,123568,4.67
JOxYNo3dl00,Histórico! o discurso mais emocionante de Lula! Combate à desigualdade é a principal prioridade,"Jan 2, 2023",21463,2345.2636,105,12.439,171641,8.46
mFvTosIZw6w,"""Sabe quanto custa 1 litro de leite?"" Senador Contarato coloca Campos Neto nas cordas","May 1, 2023",27065,1104.4944,23,12.416,214512,9.96
bY9cHGVhg-c,Jandira Feghali derruba Nikolas Ferreira como merece: Quem sai das fraldas não me chama de mentirosa,"Jun 7, 2023",22214,730.7964,22,12.102,153087,10.4
thslopv8vak,"Glauber Braga expõe os podres de Sérgio Moro! ""Dallagnol já foi, agora é a vez de Moro""","Jun 14, 2023",21373,295.2512,26,12.066,95955,13.21
JRzYGZuVls0,✨ Histórico! ✨ Randolfe compara Lula à Mandela em discurso emocionante durante sabatina de Zanin!,"Jun 22, 2023",15830,877.6021,22,11.999,167479,6.38
crftS35nGCQ,"""CPI é tiro no pé p/ oposição, vai sair deputado cassado"" Lindbergh cita envolvidos em 8 de jan","Apr 21, 2023",25594,906.0145,26,11.976,197538,8.13
D3EoElcbTng,"Glauber Braga vai para cima de Flávio Bolsonaro e cobra crimes do senador! ""Isso cheira muito mal!""","Jun 21, 2023",22780,502.1736,21,11.655,126279,11.26
vlP9oGd1b-M,"""Ouro não se come"" Sônia Guajajara desmonta argumento de Zé Trovão com uma verdadeira aula!","Apr 23, 2023",28793,953.2143,41,11.599,224963,9.96
NfS23S5C8dE,TIC TAC ⏰ Boulos está contando as horas para a prisão de Bolsonaro,"May 3, 2023",24651,613.3781,42,11.276,128267,14.98
3llRlrDY-Eo,Artistas lançam campanha e prometem ir à Brasília pressionar pela aprovação da PL da Fake News,"Apr 29, 2023",25917,404.9704,45,11.258,126483,17.12
QyGhUKCW64A,O quarto voto é para tornar Bolsonaro Inelegível! Julgamento no TSE é suspenso com placar de 3x1,"Jun 29, 2023",26284,481.1438,24,11.008,160297,10.58
afrQvy2Y7Is,Caetano Veloso Entrevista Jones Manoel,"Jan 6, 2020",7030,1918.274,123,10.757,138345,3.02
TtfWI-CdVQ0,Julgamento define destino político de Bolsonaro: confira o terceiro voto que definiu o placar em 2x1,"Jun 29, 2023",22108,498.1954,11,9.715,159391,8.92
IigRA8R1vLI,Festival do Futuro reúne centenas de artistas na posse de Lula em Brasília #aovivo,"Jan 2, 2023",130338,11650.2378,437,9.62,768137,13.87
n8Z29XY5yzk,Injustiça escancarada! Deputadas são processadas por falar a verdade e lutar contra o marco temporal,"Jun 16, 2023",14750,901.5645,17,9.601,130341,7.2
RVyAQ4iraGM,URGENTE! Deltan Dallagnol cassado! Confira o veredito de Alexandre de Moraes,"May 17, 2023",15497,245.3925,29,9.387,100073,11.31
9HzhYQrLVrA,"Chapa de Nikolas Ferreira foi cassada por fraude em 2020, entenda os detalhes com Bella Gonçalves","Apr 4, 2023",43025,620.5718,80,8.921,122252,14.07
EK6OAMJlCUc,Lindbergh pede exoneração de Campos Neto do Banco Central! Pedido será analisado no Senado,"Jun 24, 2023",16343,573.5071,17,8.897,173187,5.91
pXCBnhGbHho,Caetano Veloso Entrevista Henrique Vieira,"Dec 4, 2018",1499,180.0541,17,8.791,37073,2.66
n4IimFwS5E4,Felipe Neto explica a questão dos impostos sobre Shopee e Shein! A verdade por trás da polêmica!,"Apr 15, 2023",19129,394.2003,40,8.62,86422,12.72
zxAEuKXWRp0,Sonia Guajajara deu aula para deputados do agro bolsonaristas!,"Apr 17, 2023",16147,667.1136,41,8.276,160159,8.08
OOeKMIXxNng,Desabafo da professora que fez compras de roupas de baixo em protesto no Atacadão,"Apr 10, 2023",35517,584.6963,32,8.219,75186,13.8
UbjVwYDN5p4,"💣 Sob protestos, Stédile é convocado na CPI do MST! Deputadas reagem! Confira os melhores momentos 💣","Jun 20, 2023",15541,1095.9731,5,7.59,122314,7.44
BF_Ja8Lek7Q,Rogério Correia vai pra cima de Sérgio Moro em audiência na Câmara,"Jul 2, 2019",23772,1117.8648,77,7.458,112224,16.45
Yoqt1LjZKHU,Ministra Anielle Franco com sangue nos olhos em defesa de Vini Jr “Vamos para cima das autoridades”,"May 22, 2023",15476,373.6197,14,6.94,114215,9.91
yf_D_23bZd0,O único presidente que entra numa favela sem medo para conversar com o povo,"Oct 17, 2022",797651,10001.4359,3345,6.939,1298899,7.8
fB3gCtGAhAg,"Artistas com Lula refazem clipe clássico da campanha de 2002 ""Sem Medo de Ser Feliz""","Oct 26, 2022",12011,393.3572,23,6.884,86690,7.76
ZPvF6j-hwhc,Henrique Vieira - Jesus é negro,"Jul 4, 2017",10097,397.3681,166,6.818,91184,7.68
1hcgyWj42HE,Escândalo coloca Lira na Mira: Polícia Federal revela desvio milionário da educação em Alagoas!,"Jun 5, 2023",20974,291.8645,31,6.505,148418,10.32
IyVwiRCru0c,1200 presos transportados do acampamento no Exército para a Delegacia de Polícia de Brasília,"Jan 9, 2023",38418,373.5252,87,6.504,118263,21.81
 -Nw0OG5Ppq0,Guilherme Boulos exige punição para golpistas em discurso histórico na Av. Paulista,"Jan 10, 2023",28279,600.2479,64,6.429,123431,19.78
MSZ6ZvonJGY,Caetano Veloso Entrevista Russo Passapusso,"Jan 24, 2019",4522,778.6024,64,6.291,73110,4.14
IDelc3GwGbE,Perseguição escancarada! Erika Kokay e Juliana Cardoso enfrentam tentativa de calar suas vozes,"Jun 14, 2023",13598,683.826,12,6.194,102685,8.8
jNiLiHqYLqU,Janones admite que chamou Nikolas Ferreira de Chupetinha: 'Continuarei fazendo',"Mar 30, 2023",11670,293.0966,16,6.165,89139,9.29
GbOWIpogbPs,Lula fecha o cerco contra garimpeiros ilegais e detona política de destruição dos anos Bolsonaro,"Jun 5, 2023",15084,377.5716,20,6.132,127748,9.44
sHIKKE3a7yE,"""Aumento de 300% para governador enquanto o servidor sofre"" Bella Gonçalves denuncia Romeu Zema","Apr 3, 2023",16474,263.3329,32,6.1,100451,13.8
